date,hour,longitude,latitude,sampl
2024-02-04,09:38:28,-74.09246621985591,4.591926277323723,9
2024-02-04,09:40:28,-74.09132894909042,4.593002584333611,9
2024-02-04,09:42:28,-74.09206905739987,4.593315989833677,7
2024-02-04,09:44:28,-74.09305153432805,4.591793589650713,6
2024-02-04,09:46:28,-74.09416572278721,4.590834051895764,0
2024-02-04,09:48:28,-74.09587080763951,4.590264342164834,0
2024-02-04,09:50:28,-74.0975572782451,4.588286873461273,10
2024-02-04,09:52:28,-74.09873948770313,4.588501125417999,2
2024-02-04,09:54:28,-74.0999219414644,4.589095483467952,9
2024-02-04,09:56:28,-74.10103550539776,4.589854804652544,4
2024-02-04,09:58:28,-74.10111310415358,4.591655188535979,8
2024-02-04,10:00:28,-74.10009973034305,4.591960740981924,2
2024-02-04,10:02:28,-74.0985206502197,4.590853630770381,9
2024-02-04,10:04:28,-74.09784104643596,4.589729779508129,7
2024-02-04,10:06:28,-74.09612663426445,4.588098984413715,3
2024-02-04,10:08:28,-74.09655676739156,4.58652795699913,2
2024-02-04,10:10:28,-74.09492390025108,4.586048091111932,10
2024-02-04,10:12:28,-74.0944361044447,4.586105089137744,0
2024-02-04,10:14:28,-74.09268189527934,4.587187937240756,0
2024-02-04,10:16:28,-74.0918001487456,4.588147647431253,0
2024-02-04,10:18:28,-74.09063055401717,4.587304271631178,8
2024-02-04,10:20:28,-74.090166686866,4.585645591153231,0
2024-02-04,10:22:28,-74.08959974140208,4.584847374105429,2
2024-02-04,10:24:28,-74.08807622021985,4.585599118749058,9
2024-02-04,10:26:28,-74.0882908150589,4.586826229768273,2
2024-02-04,10:28:28,-74.08938831643253,4.587112977099503,1
2024-02-04,10:30:28,-74.08994492296942,4.586974089781111,10
2024-02-04,10:32:28,-74.09031823293265,4.5865786535583615,9
2024-02-04,10:34:28,-74.09192738423393,4.588029413036725,0
2024-02-04,10:36:28,-74.09110233555998,4.589156979952924,10
2024-02-04,10:38:28,-74.09257756581701,4.5909771646438315,8
2024-02-04,10:40:28,-74.09390066067206,4.591312247056115,1
2024-02-04,10:42:28,-74.09415057592545,4.5909988278691864,3
2024-02-04,10:44:28,-74.0944782875067,4.589442121293882,7
2024-02-04,10:46:28,-74.09489111407407,4.5894938249108135,0
2024-02-04,10:48:28,-74.09506116551754,4.58842501514384,0
2024-02-04,10:50:28,-74.09685262570099,4.587012060737832,3
2024-02-04,10:52:28,-74.09641815463844,4.585678123064941,8
2024-02-04,10:54:28,-74.09532532025037,4.585208321044562,9
2024-02-04,10:56:28,-74.09532340842689,4.5835644460422795,10
2024-02-04,10:58:28,-74.09713017338281,4.582673022605981,2
2024-02-04,11:00:28,-74.09911128768964,4.584039742984101,5
2024-02-04,11:02:28,-74.097966635558,4.585782009892932,10
2024-02-04,11:04:28,-74.09620582359511,4.585247155221134,10
2024-02-04,11:06:28,-74.09605136910605,4.5843339561743734,3
2024-02-04,11:08:28,-74.09675248889016,4.583050118557494,7
2024-02-04,11:10:28,-74.096620685547,4.582697030169899,8
2024-02-04,11:12:28,-74.09779676375148,4.5808248294509815,8
2024-02-04,11:14:28,-74.09928523906343,4.579979750956774,2
2024-02-04,11:16:28,-74.10076431947185,4.581834927001863,5
