date,hour,longitude,latitude,sampl
2024-02-04,09:38:28,-74.10008057006978,4.720956607625829,3
2024-02-04,09:40:28,-74.0985262134582,4.72156473825385,3
2024-02-04,09:42:28,-74.09709420464868,4.723003965071999,0
2024-02-04,09:44:28,-74.09625718068226,4.723554538265591,1
2024-02-04,09:46:28,-74.09476783847627,4.723613259603373,9
2024-02-04,09:48:28,-74.09296095186097,4.7242882287518695,9
2024-02-04,09:50:28,-74.0918419478779,4.7237447133309605,3
2024-02-04,09:52:28,-74.09187137707033,4.722874018257485,2
2024-02-04,09:54:28,-74.09201507402406,4.721610487168984,5
2024-02-04,09:56:28,-74.09079901269743,4.720525030157178,2
2024-02-04,09:58:28,-74.08909814500333,4.720674685234241,3
2024-02-04,10:00:28,-74.08788152154989,4.72193577817887,3
2024-02-04,10:02:28,-74.08918365817111,4.723796888410293,5
2024-02-04,10:04:28,-74.089167949325,4.723987766887189,3
2024-02-04,10:06:28,-74.08840872146732,4.725953289556996,10
2024-02-04,10:08:28,-74.08942578268783,4.72777320001788,7
2024-02-04,10:10:28,-74.08876057774447,4.728980130105906,6
2024-02-04,10:12:28,-74.08843623235276,4.730103311566504,6
2024-02-04,10:14:28,-74.08875071302916,4.731874218955235,3
2024-02-04,10:16:28,-74.08984438285458,4.732870589258012,1
2024-02-04,10:18:28,-74.0914340030939,4.732057091403202,0
2024-02-04,10:20:28,-74.09132129350553,4.730891449731788,10
2024-02-04,10:22:28,-74.0899008142307,4.729020940117772,1
2024-02-04,10:24:28,-74.08800134144326,4.727545876408285,7
2024-02-04,10:26:28,-74.08831193248724,4.726136630296244,8
2024-02-04,10:28:28,-74.08828487294856,4.725856887571723,1
2024-02-04,10:30:28,-74.08751118087328,4.72586122493554,3
2024-02-04,10:32:28,-74.0874696440005,4.723989442752953,3
2024-02-04,10:34:28,-74.08737299920008,4.7221071428861014,9
2024-02-04,10:36:28,-74.08784096748875,4.721325881826794,7
2024-02-04,10:38:28,-74.08969925574613,4.722310251585536,2
2024-02-04,10:40:28,-74.09082845358716,4.723139231456617,0
2024-02-04,10:42:28,-74.09208453933395,4.724900674635953,2
2024-02-04,10:44:28,-74.09373117915074,4.726112767571407,1
2024-02-04,10:46:28,-74.09408790427055,4.726492143668556,10
2024-02-04,10:48:28,-74.0952006289275,4.7281176257713735,9
2024-02-04,10:50:28,-74.09403802351964,4.730006962638403,2
2024-02-04,10:52:28,-74.0934471071004,4.730376539732876,5
2024-02-04,10:54:28,-74.09318420548865,4.730272777550036,10
2024-02-04,10:56:28,-74.09353608666595,4.728666468601324,6
2024-02-04,10:58:28,-74.0936854341661,4.727267918478261,6
2024-02-04,11:00:28,-74.09523473753045,4.72581818801697,9
2024-02-04,11:02:28,-74.09686060472495,4.727516064311747,0
2024-02-04,11:04:28,-74.09737693059878,4.72940583504032,7
2024-02-04,11:06:28,-74.09802950111121,4.730136533526887,10
2024-02-04,11:08:28,-74.09789678824427,4.730691604273487,6
2024-02-04,11:10:28,-74.09803266897991,4.730821781605794,5
2024-02-04,11:12:28,-74.09858325250114,4.731732325970523,1
2024-02-04,11:14:28,-74.09922667700769,4.731695201484129,8
2024-02-04,11:16:28,-74.0993899100416,4.731288902515838,1
